# Timestamp, Latitude, Longitude, Accuracy, Speed
#Journey Start
1436404406489,-36.89955165,174.85201253,11.0,7.3186407
1436404407494,-36.89951243,174.85195985,10.0,6.3294945
1436404408491,-36.899479,174.85191343,10.0,5.59017
1436404409494,-36.89944621,174.85188538,10.0,4.366062
1436404410491,-36.89943584,174.85184854,9.0,2.9261749
1436404411494,-36.89942491,174.85183138,9.0,2.0155644
1436404412490,-36.89941614,174.85182185,10.0,1.6007811
1436404413495,-36.89941308,174.85181206,9.0,1.25
1436404414493,-36.89941683,174.85180566,9.0,1.0307764
1436404415488,-36.89942086,174.85180168,9.0,1.0
1436404416494,-36.89942465,174.85179522,9.0,1.0
1436404417491,-36.89942546,174.85178863,9.0,1.0
1436404418492,-36.89942923,174.85178892,9.0,1.0
1436404419488,-36.89942777,174.8517916,9.0,1.0
1436404420494,-36.89942895,174.85178964,9.0,1.0
1436404421487,-36.89943077,174.85178761,9.0,1.0
1436404422492,-36.89943333,174.8517849,9.0,1.0
1436404423492,-36.89943489,174.8517811,9.0,1.0
1436404424495,-36.89943607,174.85178284,9.0,1.0
1436404425490,-36.8994352,174.85178099,9.0,1.0
1436404426495,-36.89943485,174.85178031,9.0,1.0
1436404427490,-36.89943522,174.85178022,9.0,1.0
1436404428493,-36.89943513,174.85178028,9.0,1.0
1436404429488,-36.89943524,174.8517801,9.0,1.0
1436404430494,-36.89943535,174.85177997,9.0,1.0
1436404431491,-36.89943508,174.85178008,9.0,1.0
1436404432495,-36.89943278,174.85178094,9.0,1.0
1436404433494,-36.89942956,174.85177714,10.0,1.25
1436404434494,-36.89941665,174.851769,10.0,1.6007811
1436404435491,-36.89939833,174.85175859,10.0,1.8027756
1436404436493,-36.89939907,174.8517249,10.0,2.0155644
1436404437488,-36.89938917,174.85170691,10.0,2.0155644
1436404438493,-36.89937446,174.85169014,10.0,2.0155644
